	index
AMD1	399
AMDHD1	400
AMDHD2	401
AMER1	402
AMER2	403
AMH	404
AMHR2	405
AMIGO1	406
AMIGO2	407
AMIGO3	408
AMMECR1	409
AMMECR1L	410
AMN	411
AMN1	412
AMOT	413
AMOTL2	414
AMPD1	415
AMPD3	416
AMPH	417
AMT	418
AMY2B	419
AMZ1	420
AMZ2	421
ANAPC1	422
ANAPC10	423
ANAPC11	424
ANAPC2	425
ANAPC4	426
ANAPC5	427
ANAPC7	428
ANGEL1	429
ANGEL2	430
ANGPT1	431
ANGPT2	432
ANGPT4	433
ANGPTL1	434
ANGPTL2	435
ANGPTL3	436
ANGPTL4	437
ANGPTL5	438
ANGPTL7	439
ANK1	440
ANK2	441
ANK3	442
ANKAR	443
ANKDD1A	444
ANKFY1	445
ANKH	446
ANKHD1-EIF4EBP3	447
ANKIB1	448
ANKLE1	449
ANKLE2	450
ANKMY1	451
ANKMY2	452
ANKRA2	453
ANKRD1	454
ANKRD10	455
ANKRD11	456
ANKRD12	457
ANKRD13A	458
ANKRD13B	459
ANKRD13C	460
ANKRD17	461
ANKRD18A	462
ANKRD2	463
ANKRD24	464
ANKRD26	465
ANKRD27	466
ANKRD28	467
ANKRD29	468
ANKRD34A	469
ANKRD35	470
ANKRD39	471
ANKRD40	472
ANKRD42	473
ANKRD44	474
ANKRD45	475
ANKRD46	476
ANKRD49	477
ANKRD50	478
ANKRD52	479
ANKRD54	480
ANKRD55	481
ANKRD6	482
ANKRD7	483
ANKS1A	484
ANKS1B	485
ANKS4B	486
ANKS6	487
ANKZF1	488
ANLN	489
ANO1	490
ANO10	491
ANO2	492
ANO4	493
ANO5	494
ANO6	495
ANO7	496
ANO8	497
ANO9	498
ANP32A	499
ANP32B	500
ANP32E	501
ANPEP	502
ANTXR1	503
ANTXR2	504
ANXA1	505
ANXA11	506
ANXA13	507
ANXA3	508
ANXA4	509
ANXA5	510
ANXA6	511
ANXA7	512
ANXA8L1	513
ANXA9	514
AOAH	515
AOC2	516
AOC3	517
AOX1	518
AP1AR	519
AP1G1	520
AP1G2	521
AP1M1	522
AP1M2	523
AP1S1	524
AP1S3	525
AP2A1	526
AP2A2	527
AP2B1	528
AP2M1	529
AP2S1	530
AP3B1	531
AP3B2	532
AP3M1	533
AP3M2	534
AP3S1	535
AP4B1	536
AP4E1	537
AP4M1	538
AP4S1	539
AP5B1	540
AP5M1	541
AP5S1	542
APAF1	543
APBA1	544
APBA3	545
APBB1	546
APBB1IP	547
APBB2	548
APBB3	549
APC	550
APC2	551
APCDD1	552
APEH	553
APEX1	554
APEX2	555
APH1A	556
API5	557
APLF	558
APLN	559
APLNR	560
APLP1	561
APLP2	562
APMAP	563
APOA1	564
APOA5	565
APOB	566
APOBEC2	567
APOBEC3B	568
APOBEC3C	569
APOBEC3D	570
APOBEC3F	571
APOBEC3G	572
APOBEC4	573
APOBR	574
APOC2	575
APOC4	576
APOD	577
APOF	578
APOL1	579
APOL2	580
APOL4	581
APOL5	582
APOL6	583
APOLD1	584
APOO	585
APOOL	586
APP	587
APPBP2	588
APPL1	589
APPL2	590
APTX	591
AQP1	592
AQP10	593
AQP11	594
AQP2	595
AQP3	596
AQP4	597
AQP5	598
AQP6	599
AQP7	600
AQP8	601
AQR	602
AR	603
ARAF	604
ARAP1	605
ARAP2	606
ARAP3	607
ARC	608
ARCN1	609
AREG	610
AREL1	611
ARF1	612
ARF3	613
ARF5	614
ARFGAP1	615
ARFGAP2	616
ARFGAP3	617
ARFGEF1	618
ARFGEF2	619
ARFIP1	620
ARFIP2	621
ARFRP1	622
ARG1	623
ARG2	624
ARGLU1	625
ARHGAP1	626
ARHGAP10	627
ARHGAP11A	628
ARHGAP12	629
ARHGAP17	630
ARHGAP18	631
ARHGAP19	632
ARHGAP20	633
ARHGAP21	634
ARHGAP22	635
ARHGAP24	636
ARHGAP26	637
ARHGAP27	638
ARHGAP30	639
ARHGAP31	640
ARHGAP32	641
ARHGAP33	642
ARHGAP35	643
ARHGAP36	644
ARHGAP39	645
ARHGAP4	646
ARHGAP44	647
ARHGAP5	648
ARHGAP6	649
ARHGAP9	650
ARHGDIA	651
ARHGDIB	652
ARHGEF1	653
ARHGEF10	654
ARHGEF10L	655
ARHGEF11	656
ARHGEF12	657
ARHGEF15	658
ARHGEF16	659
ARHGEF17	660
ARHGEF18	661
ARHGEF19	662
ARHGEF25	663
ARHGEF26	664
ARHGEF28	665
ARHGEF3	666
ARHGEF37	667
ARHGEF39	668
ARHGEF4	669
ARHGEF40	670
ARHGEF6	671
