symbol
ZEB2
PTEN
RB1
EPB41L3
FBXW7
CDKN2A
FAT4
KRAS
ZFHX3
TP53
ZNF521
CDH11
NLRP3
TLR4
KMT2D
CDH10
MKI67
PDYN
WIF1
KEAP1
HLA-A
NFE2L2
PIK3CA
PIK3CG
NOTCH1
NAV3
