	index
AKT1S1	399
AKT2	400
AKT3	401
AKTIP	402
ALAD	403
ALAS1	404
ALAS2	405
ALB	406
ALCAM	407
ALDH16A1	408
ALDH18A1	409
ALDH1A1	410
ALDH1A2	411
ALDH1A3	412
ALDH1B1	413
ALDH1L1	414
ALDH1L2	415
ALDH2	416
ALDH3A2	417
ALDH3B1	418
ALDH3B2	419
ALDH5A1	420
ALDH6A1	421
ALDH7A1	422
ALDH8A1	423
ALDH9A1	424
ALDOA	425
ALDOB	426
ALDOC	427
ALG1	428
ALG10	429
ALG10B	430
ALG11	431
ALG12	432
ALG13	433
ALG14	434
ALG2	435
ALG3	436
ALG5	437
ALG6	438
ALG8	439
ALG9	440
ALK	441
ALKBH1	442
ALKBH2	443
ALKBH3	444
ALKBH4	445
ALKBH5	446
ALKBH7	447
ALKBH8	448
ALLC	449
ALMS1	450
ALOX12	451
ALOX12B	452
ALOX15	453
ALOX15B	454
ALOX5	455
ALOX5AP	456
ALOXE3	457
ALPK1	458
ALPK2	459
ALPK3	460
ALPL	461
ALS2	462
ALS2CL	463
ALX1	464
ALX4	465
AMACR	466
AMBP	467
AMBRA1	468
AMD1	469
AMDHD1	470
AMDHD2	471
AMER1	472
AMER2	473
AMH	474
AMHR2	475
AMIGO1	476
AMIGO2	477
AMIGO3	478
AMMECR1	479
AMMECR1L	480
AMN	481
AMN1	482
AMOT	483
AMOTL1	484
AMOTL2	485
AMPD1	486
AMPD2	487
AMPD3	488
AMPH	489
AMT	490
AMY1A	491
AMY1C	492
AMY2A	493
AMY2B	494
AMZ1	495
AMZ2	496
ANAPC1	497
ANAPC10	498
ANAPC11	499
ANAPC2	500
ANAPC4	501
ANAPC5	502
ANAPC7	503
ANGEL1	504
ANGEL2	505
ANGPT1	506
ANGPT2	507
ANGPT4	508
ANGPTL1	509
ANGPTL2	510
ANGPTL3	511
ANGPTL4	512
ANGPTL5	513
ANGPTL7	514
ANK1	515
ANK2	516
ANK3	517
ANKAR	518
ANKDD1A	519
ANKEF1	520
ANKFY1	521
ANKH	522
ANKHD1-EIF4EBP3	523
ANKIB1	524
ANKLE1	525
ANKLE2	526
ANKMY1	527
ANKMY2	528
ANKRA2	529
ANKRD1	530
ANKRD10	531
ANKRD11	532
ANKRD12	533
ANKRD13A	534
ANKRD13B	535
ANKRD13C	536
ANKRD13D	537
ANKRD17	538
ANKRD18A	539
ANKRD2	540
ANKRD24	541
ANKRD26	542
ANKRD27	543
ANKRD28	544
ANKRD29	545
ANKRD34A	546
ANKRD35	547
ANKRD36	548
ANKRD39	549
ANKRD40	550
ANKRD42	551
ANKRD44	552
ANKRD45	553
ANKRD46	554
ANKRD49	555
ANKRD50	556
ANKRD52	557
ANKRD53	558
ANKRD54	559
ANKRD55	560
ANKRD6	561
ANKRD65	562
ANKRD7	563
ANKS1A	564
ANKS1B	565
ANKS4B	566
ANKS6	567
ANKZF1	568
ANLN	569
ANO1	570
ANO10	571
ANO2	572
ANO3	573
ANO4	574
ANO5	575
ANO6	576
ANO7	577
ANO8	578
ANO9	579
ANP32A	580
ANP32B	581
ANP32E	582
ANPEP	583
ANTXR1	584
ANTXR2	585
ANXA1	586
ANXA10	587
ANXA11	588
ANXA13	589
ANXA3	590
ANXA4	591
ANXA5	592
ANXA6	593
ANXA7	594
ANXA8	595
ANXA8L1	596
ANXA9	597
AOAH	598
AOC1	599
AOC2	600
AOC3	601
AOX1	602
AP1AR	603
AP1B1	604
AP1G1	605
AP1G2	606
AP1M1	607
AP1M2	608
AP1S1	609
